"0","LC_dat <- LC %>% #converts the raster matrix to a list of classifications"
"0","  as_tibble() %>%"
"0","  drop_na()"
"0",""
"0","LC_summary <- LC_dat %>%"
"0","  count(`NLCD Land Cover Class`) %>%  # Count occurrences of each class"
"0","  mutate(percentage = (n / sum(n)) * 100)  # Calculate percentage"
"2","Error in stopifnot(is.character(filename), length(filename) == 1L) : 
  reached elapsed time limit
"
"0","#extract landcover values for each point"
"0","####join the two datasets"
"0","NW_LC <- terra::extract(LC, NW)"
"2","Warning:"
"2"," [extract] transforming vector data to the CRS of the raster
"
"0","#head(NW_own)"
"0",""
"0","#calculate the percentage of ownership for all points"
"0","NW_LC_summary <- NW_LC %>%"
"0","  group_by(`NLCD Land Cover Class`) %>%"
"0","  summarize(count = n()) %>%"
"0","  ungroup() %>%"
"0","  mutate(perc = (count / sum(count)) * 100)"
"0",""
"0","# Plot the data"
"0","ggplot(LC_summary, aes(x = `NLCD Land Cover Class`, y = percentage, fill = `NLCD Land Cover Class`)) +"
"0","  geom_col() +"
"0","  geom_point(data=NW_LC_summary, aes(x = `NLCD Land Cover Class`, y = perc), color = ""red"", size = 3) +"
"0","  "
"0","  scale_y_continuous(labels = scales::comma_format()) +  # Format y-axis to avoid scientific notation"
"0","  labs(title = ""Percentage of NLCD Land Cover Classes"","
"0","       x = ""NLCD Land Cover Class"","
"0","       y = ""Percentage of Total Area [bars]"","
"0","       fill = ""Land Cover Class"") +"
"0","  scale_y_continuous(sec.axis = sec_axis(~ . / 100, name = ""Percentage of Observations [points]"")) +"
"0","  theme_classic() +"
"0","  theme(axis.text.x = element_text(angle = 45, hjust = 1),"
"0","        legend.position = ""none"") +"
"0","  scale_fill_viridis_d(option = ""inferno"", direction = -1)  # Use a visually appealing color scale"
"1","[38;5;251mScale for [32my[38;5;251m is already present.
Adding another scale for [32my[38;5;251m, which will replace the existing scale.[39m
"
