"","objectid","scientificname","displayname","subjectnumber","habitat","locality","location","coordinates","township","fipscode","local_ownership","sitename","coordinateuncertaintyinmeters","waterbodyname","numbercollected","abundance","density","grossarea","grossareaunits","infestedarea","infestedareaunits","treatmentarea","treatmentcomments","disturbance","appxquantity","percentcover","eradicationdate","plantstreated","infestationstatus","eradicationstatus","reporter","observationdate","yearaccuracy","dateentered","dateupdated","updatedby","surveyorid","observationidentifier","dateuncertaintyindays","originalreportedsubject","phenology","sex","host","hostphenology","incidence","incidenceunit","incidencestring","severity","severityunit","severitystring","verificationmethod","identificationcredibility","reviewidentifier","identificationdate","reviewed","reviewer","datereviewed","publiccomments","datacollectionmethod","visittype","surveyor","othersurveyors","reporteraffiliation","url","nadatum","comments","projectname","quantity","quantityunits","traptype","numberoftraps","targetname","targetcount","targetrange","geogwkt","geogtype","private","recordbasis","managementstatus","populationstatus","centroidtype","OriginalRecordID","resistanceprofiles","geometry"
"1",12291134,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Eddy, New Mexico, United States","  32.85430,-104.30819",NA,"35015",NA,NA,4,NA,NA,NA,"<5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive","Positive","Riki Lopez","2024-11-21T13:12:27.000Z",NA,"2024-11-25T16:55:55.433Z","2025-01-06T22:12:57.113Z",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Photographs","Verified",NA,NA,TRUE,"Dylan Burruss","2025-01-06T22:12:57.113Z","",NA,NA,NA,NA,NA,NA,"WGS84     ","Karr Ranch Rd ","EDDMapS App",NA,NA,NA,NA,NA,NA,NA,"POINT (-104.308192 32.854299)","Point",TRUE,"Human Observation","Unknown",NA,NA,NA,"0",c(-104.308192, 32.854299)
"2",8287385,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Otero, New Mexico, United States","  32.92117,-105.92078",NA,"35035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive","Positive","iNaturalist Database ","2014-04-23T00:00:00.000Z",NA,"2019-10-30T11:57:09.830Z","2014-05-05T17:26:14.000Z",NA,"2991",NA,NA,"Peganum harmala",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Photographs","Verified","Chuck Sexton",NA,TRUE,"Edward Sprigg","2021-11-09T17:04:12.937Z","",NA,NA,"sea-kangaroo",NA,NA,"http://www.inaturalist.org/observations/662437",NA,"","iNaturalist API",NA,NA,NA,NA,NA,NA,NA,"POINT(-105.920783997 32.9211654663)","Point",TRUE,NA,NA,NA,NA,NA,"0",c(-105.920783997, 32.9211654663)
"3",1620429,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Eddy, New Mexico, United States","  32.42300,-104.20900",NA,"35015","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,0.05,"Acres",0.05,"Acres",NA,"Integrated Management",NA,NA,"5.00000000",NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","2000-06-30T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"T. Hensley",NA,NA,NA,"NAD27     ","Infest Area = Canopy_Cover X Gross_Area. Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-104.209 32.423)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-104.209, 32.423)
"4",1620409,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Otero, New Mexico, United States","  32.95700,-105.95100",NA,"35035","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,0.05,"Acres",0.05,"Acres",NA,"Integrated Management",NA,NA,"5.00000000",NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","2000-06-30T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"J. Spear",NA,NA,NA,"NAD27     ","Infest Area = Canopy_Cover X Gross_Area. Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-105.951 32.957)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-105.951, 32.957)
"5",1620408,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Otero, New Mexico, United States","  32.95800,-105.94900",NA,"35035","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,0.05,"Acres",0.05,"Acres",NA,"Integrated Management",NA,NA,"5.00000000",NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","2000-06-30T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"J. Spear",NA,NA,NA,"NAD27     ","Infest Area = Canopy_Cover X Gross_Area. Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-105.949 32.958)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-105.949, 32.958)
"6",1620407,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Otero, New Mexico, United States","  32.95400,-105.95400",NA,"35035","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,0.05,"Acres",0.05,"Acres",NA,"Integrated Management",NA,NA,"5.00000000",NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","2000-06-30T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"J. Spear",NA,NA,NA,"NAD27     ","Infest Area = Canopy_Cover X Gross_Area. Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-105.954 32.954)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-105.954, 32.954)
"7",1620347,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.19400,-107.64700",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.647 32.194)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.647, 32.194)
"8",1620346,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.19100,-107.64400",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.644 32.191)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.644, 32.191)
"9",1620345,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.18800,-107.64000",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.64 32.188)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.64, 32.188)
"10",1620344,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.18400,-107.62900",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.629 32.184)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.629, 32.184)
"11",1620343,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.18700,-107.63400",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.634 32.187)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.634, 32.187)
"12",1620342,"Peganum harmala","African rue (Peganum harmala L.)",6158,NA,NA,"Luna, New Mexico, United States","  32.18500,-107.63400",NA,"35029","Unknown                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,0.05,"Acres",NA,"No Action",NA,NA,NA,NA,NA,"Positive","Positive","Southwest Exotic Plant Mapping Program  , U.S. Geological Survey","1999-07-01T00:00:00.000Z",NA,"2011-05-24T00:00:00.000Z","2011-05-24T00:00:00.000Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"W. Hooper",NA,NA,NA,"NAD27     "," Infest Area assigned lowest cover category (<0.1) since critical data not reported.  Site geographic coordinates   (latitude, longitude decimal degrees) degraded to 3 decimal places.","Bulk Data Entry",NA,NA,NA,NA,NA,NA,NA,"POINT(-107.634 32.185)","Point",TRUE,NA,"Unknown",NA,NA,NA,"0",c(-107.634, 32.185)
